week_start,week_end,well,service,quantity,unit_price,total_price,h_j_total_price,payment_deal_id,ordinal
2025-09-15,2025-09-19,Black Bear 13TB,Construction Supervisor III,0.3571,990,353.57,392.86,3025035,1
2025-09-15,2025-09-19,Black Bear 13TB,Per Diem,0.3572,75,26.79,26.79,3025035,2
2025-09-15,2025-09-19,Black Bear 13TB,Mileage,107.14,1.25,133.93,160.72,3025035,3
2025-09-15,2025-09-19,Black Bear 9TB,Construction Supervisor III,0.3571,990,353.57,392.86,3025033,4
2025-09-15,2025-09-19,Black Bear 9TB,Per Diem,0.3572,75,26.79,26.79,3025033,5
2025-09-15,2025-09-19,Black Bear 9TB,Mileage,107.14,1.25,133.93,160.72,3025033,6
2025-09-15,2025-09-19,Grissom White 3025036,Construction Supervisor III,0.3571,990,353.57,392.86,3025036,7
2025-09-15,2025-09-19,Grissom White 3025036,Per Diem,0.3572,75,26.79,26.79,3025036,8
2025-09-15,2025-09-19,Grissom White 3025036,Mileage,107.14,1.25,133.93,160.72,3025036,9
2025-09-15,2025-09-19,Grissom White 3025037,Construction Supervisor III,0.3571,990,353.57,392.86,3025037,10
2025-09-15,2025-09-19,Grissom White 3025037,Per Diem,0.3572,75,26.79,26.79,3025037,11
2025-09-15,2025-09-19,Grissom White 3025037,Mileage,107.14,1.25,133.93,160.72,3025037,12
2025-09-15,2025-09-19,Klipspringer 3B,Construction Supervisor III,0.3571,990,353.57,392.86,3025015,13
2025-09-15,2025-09-19,Klipspringer 3B,Per Diem,0.3572,75,26.79,26.79,3025015,14
2025-09-15,2025-09-19,Klipspringer 3B,Mileage,107.14,1.25,133.93,160.72,3025015,15
2025-09-15,2025-09-19,Klipspringer 4A,Construction Supervisor III,0.3571,990,353.57,392.86,3025016,16
2025-09-15,2025-09-19,Klipspringer 4A,Per Diem,0.3572,75,26.79,26.79,3025016,17
2025-09-15,2025-09-19,Klipspringer 4A,Mileage,107.14,1.25,133.93,160.72,3025016,18
2025-09-15,2025-09-19,Rebecca B 4J,Construction Supervisor III,0.3571,990,353.57,392.86,3025030,19
